name,id,link
ABERFELDY RIVER @ BEARDMORE,225213,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/ABERFELDY%20RIVER%20%40%20BEARDMORE/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
ACHERON RIVER @ TAGGERTY,405209,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/ACHERON%20RIVER%20%40%20TAGGERTY/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
ADEKATE CREEK @ CRESWICK,407238,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/ADEKATE%20CREEK%20%40%20CRESWICK/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
AGNES RIVER @ AGNES RIVER RD,227283,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/AGNES%20RIVER%20%40%20AGNES%20RIVER%20RD/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
AGNES RIVER @ TOORA,227211,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/AGNES%20RIVER%20%40%20TOORA/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
AGROFORESTRY SITE @ RACECOURSE PADDOCK GERANGAMETE,233250,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/AGROFORESTRY%20SITE%20%40%20RACECOURSE%20PADDOCK%20GERANGAMETE/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
AIRE RIVER @ BEECH FOREST,235209,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/AIRE%20RIVER%20%40%20BEECH%20FOREST/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
AIRE RIVER @ HORDEN VALE,235283,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/AIRE%20RIVER%20%40%20HORDEN%20VALE/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
AIRE RIVER @ WYELANGTA,235219,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/AIRE%20RIVER%20%40%20WYELANGTA/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
ALBERT RIVER @ HIAWATHA (ABOVE FALLS),227208,"https://data.water.vic.gov.au/WMIS/#/overview/stations/topic/Surface%20Water/site/ALBERT%20RIVER%20%40%20HIAWATHA%20(ABOVE%20FALLS)/document?ww-station-table-_hiddenColumns=null&ww-station-table-sort=%5B%7B%22field%22%3A%22station_name%22%2C%22ascending%22%3Atrue%7D%5D&wmis-station-map-zoom=%7B%22center%22%3A%5B16093811.5%2C-4367923.490583417%5D%2C%22zoom%22%3A7%7D&document={%22label%22:%22Gaugings%20and%20Ratings%22,%22component%22:%22wmis-site-gaugingsratings%22,%22varFrom%22:%22streamwaterlevel%22,%22varTo%22:%22streamflow%22,%22ratingInterval%22:0,%22displayReftabs%22:true,%22displayRefrels%22:true}"
